"workerid","rt","content","subjectGender","speakerGender","question","speakerName","fact_type","subjectName","verb","utterance","contentNr","trigger_class","response","fact","slide_number_in_experiment"
72,2478,"Madison had a baby",NA,"F","control5","Nancy",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",15
72,2080,"Grace visited her sister","M","M","9","Robert","factH","Eric","annoyed","Is Andrew annoyed that Grace visited her sister?","9","NonProj","Yes","Grace loves her sister",16
72,2636,"Mia drank 2 cocktails last night","M","F","6","Kimberly","factH","Tyler","discover","Did Ray discover that Mia drank 2 cocktails last night?","6","NonProj","Yes","Mia is a college student",17
72,1420,"Mary&quotechars aunt is sick",NA,"M","control2","Matthew",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",18
72,2298,"Olivia sleeps until noon","M","F","4","Nancy","factL","Gregory","demonstrate","Did Jerry demonstrate that Olivia sleeps until noon?","4","C","Yes","Olivia has two small children",19
72,1584,"Mary is pregnant","M","M","1","William","factL","Raymond","prove","Did Patrick prove that Mary is pregnant?","1","C","Yes","Mary is a middle school student",20
72,1375,"Vanessa is good at math",NA,"F","control4","Elizabeth",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",21
72,1836,"Jayden rented a car","F","F","14","Carol","factL","Amanda","reveal","Did Stephanie reveal that Jayden rented a car?","14","NonProj","Yes","Jayden doesn&quotechart have a driver&quotechars license",22
72,1861,"Zack is coming to the meeting tomorrow",NA,"F","control1","Carol",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",23
72,1644,"Todd played football in high school",NA,"F","control3","Betty",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",24
72,2212,"Danny ate the last cupcake","F","M","11","Paul","factH","Catherine","think","Does Amanda think that Danny ate the last cupcake?","11","NonProj","No","Danny loves cake",25
72,1933,"Jon walks to work","F","F","19","Jessica","factH","Shirley","know","Does Ruth know that Jon walks to work?","19","NonProj","Yes","Jon lives 2 blocks away from work",26
72,1830,"Emily bought a car yesterday","M","F","8","Linda","factH","Jerry","announce","Did Brian announce that Emily bought a car yesterday?","8","C","Yes","Emily has been saving for a year",27
73,4470,"Mary&quotechars aunt is sick",NA,"F","control2","Jessica",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",2
